"hgnc_symbol","ensembl_peptide_id"
"FAM20C","ENSP00000499851"
"FRG1","ENSP00000489664"
"FRG1","ENSP00000490541"
"FRG1","ENSP00000489960"
"FRG1","ENSP00000490915"
"FRG1","ENSP00000489984"
"TPTE","ENSP00000482040"
"TPTE","ENSP00000484064"
"TPTE","ENSP00000484403"
"TPTE","ENSP00000482488"
"TPTE","ENSP00000483087"
"DGCR6","ENSP00000402409"
"DGCR6","ENSP00000331681"
"DGCR6","ENSP00000467483"
"DGCR6","ENSP00000397633"
"DGCR6","ENSP00000476388"
"DGCR6","ENSP00000466276"
"PFDN4","ENSP00000360473"
"PFDN4","ENSP00000432441"
"FAM20C","ENSP00000322323"
"CENPC","ENSP00000273853"
"CENPC","ENSP00000421234"
"CENPC","ENSP00000426078"
"CENPC","ENSP00000425255"
"SPIN4","ENSP00000364018"
"MMEL1","ENSP00000461938"
"MMEL1","ENSP00000367668"
"MMEL1","ENSP00000422492"
"MMEL1","ENSP00000425477"
"CWH43","ENSP00000226432"
"CWH43","ENSP00000425157"
"CWH43","ENSP00000422802"
"SLC35F1","ENSP00000353557"
"SLC35F1","ENSP00000484738"
"EPM2A","ENSP00000491330"
"EPM2A","ENSP00000414900"
"EPM2A","ENSP00000491590"
"EPM2A","ENSP00000492701"
"EPM2A","ENSP00000356489"
"EPM2A","ENSP00000492823"
"EPM2A","ENSP00000480268"
"EPM2A","ENSP00000405913"
"EPM2A","ENSP00000492876"
"EPM2A","ENSP00000491180"
"EPM2A","ENSP00000491251"
"EPM2A","ENSP00000492179"
"EPM2A","ENSP00000491191"
"EPM2A","ENSP00000491338"
"EPM2A","ENSP00000491353"
"EPM2A","ENSP00000491224"
"USP17L27","ENSP00000423211"
"USP17L20","ENSP00000427264"
"POTEA","ENSP00000492265"
"POTEA","ENSP00000492193"
"MMEL1","ENSP00000487339"
"MMEL1","ENSP00000484606"
"MMEL1","ENSP00000482173"
"MMEL1","ENSP00000486668"
"KHDRBS2","ENSP00000502245"
"KHDRBS2","ENSP00000281156"
"ZXDA","ENSP00000351530"
"OR4C46","ENSP00000329056"
"PSMD14","ENSP00000386541"
"PSMD14","ENSP00000399311"
"FRG1","ENSP00000518805"
"FRG1","ENSP00000490846"
"FRG1","ENSP00000489690"
"FRG1","ENSP00000490222"
"FRG1","ENSP00000489702"
"FRG1","ENSP00000489820"
"FRG1","ENSP00000483471"
"FRG1","ENSP00000485342"
"FRG1","ENSP00000486096"
"FRG1","ENSP00000486212"
"FRG1","ENSP00000487528"
"ROCK1","ENSP00000489185"
"ROCK1","ENSP00000382697"
"ROCK1","ENSP00000462004"
"FAM20C","ENSP00000488297"
"FAM20C","ENSP00000485770"
"SPRY3","ENSP00000511806"
"SPRY3","ENSP00000502489"
"SPRY3","ENSP00000302978"
"EMB","ENSP00000302289"
"EMB","ENSP00000425215"
"EMB","ENSP00000426404"
"IZUMO1R","ENSP00000510041"
"IZUMO1R","ENSP00000332963"
"IZUMO1R","ENSP00000416935"
"CCDC91","ENSP00000441714"
"CCDC91","ENSP00000440194"
"CCDC91","ENSP00000444440"
"CCDC91","ENSP00000438558"
"CCDC91","ENSP00000440513"
"CCDC91","ENSP00000438040"
"CCDC91","ENSP00000445660"
"CCDC91","ENSP00000446045"
"CCDC91","ENSP00000441651"
"CCDC91","ENSP00000370658"
"CCDC91","ENSP00000445999"
"CCDC91","ENSP00000442473"
"CCDC91","ENSP00000444038"
"CCDC91","ENSP00000446329"
"CCDC91","ENSP00000439935"
"CCDC91","ENSP00000446059"
"FRG1","ENSP00000518806"
"FRG1","ENSP00000435067"
"FRG1","ENSP00000226798"
"FRG1","ENSP00000436535"
"FRG1","ENSP00000435943"
"FRG1","ENSP00000462603"
"SENP5","ENSP00000390231"
"SENP5","ENSP00000327197"
"SENP5","ENSP00000396927"
"SENP5","ENSP00000405663"
"SENP5","ENSP00000415227"
"CCDC200","ENSP00000490021"
"CCDC200","ENSP00000490165"
"CCDC200","ENSP00000489656"
"CCDC200","ENSP00000490689"
"CCDC200","ENSP00000490609"
"CCDC200","ENSP00000490311"
"CCDC200","ENSP00000490542"
"CCDC200","ENSP00000490084"
"CCDC200","ENSP00000489626"
"CCDC200","ENSP00000489996"
"CCDC200","ENSP00000490754"
"CCDC200","ENSP00000489929"
"CCDC200","ENSP00000490713"
"OR4F29","ENSP00000409316"
"TRIM33","ENSP00000351250"
"TRIM33","ENSP00000402333"
"TRIM33","ENSP00000358556"
